n_train,method,r2_test
2000,NeuMiss_d5,-0.16464853
2000,NM+C_d5,0.46352255
2000,NM+MLP_d3,0.41629
2000,NMwide+MLP_d3,0.4514045
2000,ImputeMLP,0.59787166
4000,NeuMiss_d5,-0.0850991
4000,NM+C_d5,0.5759764
4000,NM+MLP_d3,0.4960271
4000,NMwide+MLP_d3,0.47754645
4000,ImputeMLP,0.63901246
8000,NeuMiss_d5,-0.050642967
8000,NM+C_d5,0.663852
8000,NM+MLP_d3,0.5921897
8000,NMwide+MLP_d3,0.6052127
8000,ImputeMLP,0.6920704
16000,NeuMiss_d5,-0.010875106
16000,NM+C_d5,0.6680356
16000,NM+MLP_d3,0.6036304
16000,NMwide+MLP_d3,0.63830876
16000,ImputeMLP,0.6889475
