missing_prob,method,r2_test
0.1,NeuMiss_d5,-0.09948206
0.1,NM+MLP_d3,0.7437824
0.1,NMwide+MLP_d3,0.7131149
0.1,ImputeMLP,0.8873058
0.3,NeuMiss_d5,-0.0400728
0.3,NM+MLP_d3,0.71353316
0.3,NMwide+MLP_d3,0.6995853
0.3,ImputeMLP,0.8363144
0.5,NeuMiss_d5,-0.056991696
0.5,NM+MLP_d3,0.5764602
0.5,NMwide+MLP_d3,0.6033608
0.5,ImputeMLP,0.69798934
0.7,NeuMiss_d5,-0.035868764
0.7,NM+MLP_d3,0.36243516
0.7,NMwide+MLP_d3,0.36839414
0.7,ImputeMLP,0.43441004
0.9,NeuMiss_d5,-0.01810515
0.9,NM+MLP_d3,0.11796069
0.9,NMwide+MLP_d3,0.07568735
0.9,ImputeMLP,0.12924606
